trialNum,numTeachers,numAssessments,numExamples,teacherMu,exponent,simType,IG
0,5,0,10,0.5,0.8,unsortedNaiveTeachers,48.89814186035454
0,5,0,10,0.5,0.8,unsortedUncertainTeachers,51.79501568978506
0,5,0,10,0.5,0.8,sortedUncertainTeachers,51.79501568978506
0,5,0,10,0.5,0.8,unsortedPerfectTeachers,51.79501568978506
0,5,0,10,0.5,0.8,sortedPerfectTeachers,97.03039734643818
0,5,0,10,0.5,0.9,unsortedNaiveTeachers,48.48093955628854
0,5,0,10,0.5,0.9,unsortedUncertainTeachers,53.22957086006235
0,5,0,10,0.5,0.9,sortedUncertainTeachers,53.22957086006235
0,5,0,10,0.5,0.9,unsortedPerfectTeachers,53.630491942937006
0,5,0,10,0.5,0.9,sortedPerfectTeachers,105.27113177350466
0,5,0,10,0.5,1.0,unsortedNaiveTeachers,43.86945584350827
0,5,0,10,0.5,1.0,unsortedUncertainTeachers,54.84024450200424
0,5,0,10,0.5,1.0,sortedUncertainTeachers,54.840244502004246
0,5,0,10,0.5,1.0,unsortedPerfectTeachers,56.44507781241714
0,5,0,10,0.5,1.0,sortedPerfectTeachers,114.44551987107329
0,5,0,10,0.5,1.1,unsortedNaiveTeachers,46.00264559491588
0,5,0,10,0.5,1.1,unsortedUncertainTeachers,56.62883189617695
0,5,0,10,0.5,1.1,sortedUncertainTeachers,56.62883189617695
0,5,0,10,0.5,1.1,unsortedPerfectTeachers,59.5331519318963
0,5,0,10,0.5,1.1,sortedPerfectTeachers,124.90648699678975
0,5,0,10,0.5,1.2,unsortedNaiveTeachers,56.58503906391758
0,5,0,10,0.5,1.2,unsortedUncertainTeachers,58.60341757787141
0,5,0,10,0.5,1.2,sortedUncertainTeachers,58.60341757787141
0,5,0,10,0.5,1.2,unsortedPerfectTeachers,62.932912360217536
0,5,0,10,0.5,1.2,sortedPerfectTeachers,136.66294269477152
0,10,0,10,0.5,0.8,unsortedNaiveTeachers,36.75959462803102
0,10,0,10,0.5,0.8,unsortedUncertainTeachers,51.79501568978505
0,10,0,10,0.5,0.8,sortedUncertainTeachers,51.79501568978506
0,10,0,10,0.5,0.8,unsortedPerfectTeachers,53.039138250261395
0,10,0,10,0.5,0.8,sortedPerfectTeachers,98.58297094127698
0,10,0,10,0.5,0.9,unsortedNaiveTeachers,40.497089398619096
0,10,0,10,0.5,0.9,unsortedUncertainTeachers,53.22957086006234
0,10,0,10,0.5,0.9,sortedUncertainTeachers,53.22957086006235
0,10,0,10,0.5,0.9,unsortedPerfectTeachers,56.029552144710465
0,10,0,10,0.5,0.9,sortedPerfectTeachers,107.02890690832746
0,10,0,10,0.5,1.0,unsortedNaiveTeachers,50.59482255196139
0,10,0,10,0.5,1.0,unsortedUncertainTeachers,54.840244502004225
0,10,0,10,0.5,1.0,sortedUncertainTeachers,54.840244502004225
0,10,0,10,0.5,1.0,unsortedPerfectTeachers,59.949862679740264
0,10,0,10,0.5,1.0,sortedPerfectTeachers,116.45222682569481
0,10,0,10,0.5,1.1,unsortedNaiveTeachers,37.56344875532252
0,10,0,10,0.5,1.1,unsortedUncertainTeachers,56.62883189617695
0,10,0,10,0.5,1.1,sortedUncertainTeachers,56.62883189617696
0,10,0,10,0.5,1.1,unsortedPerfectTeachers,64.43693558138443
0,10,0,10,0.5,1.1,sortedPerfectTeachers,127.0006906055879
0,10,0,10,0.5,1.2,unsortedNaiveTeachers,45.42908019561006
0,10,0,10,0.5,1.2,unsortedUncertainTeachers,58.60341757787141
0,10,0,10,0.5,1.2,sortedUncertainTeachers,58.60341757787142
0,10,0,10,0.5,1.2,unsortedPerfectTeachers,69.59020203472511
0,10,0,10,0.5,1.2,sortedPerfectTeachers,138.83976313421852
0,1,0,10,0.6,0.8,unsortedNaiveTeachers,45.28953293237537
